Source,Target,Weight
v1,v8,1
v2,v227,1
v3,v228,1
v4,v229,1
v5,v230,1
v6,v6,1
v6,v231,1
v6,v232,1
v6,v233,1
v6,v234,1
v6,v235,1
v6,v236,1
v6,v237,1
v6,v238,1
v6,v239,1
v6,v240,1
v6,v241,1
v6,v242,1
v6,v243,1
v6,v244,1
v6,v245,1
v6,v246,1
v6,v247,1
v6,v248,1
v6,v249,1
v6,v250,1
v6,v251,1
v6,v252,1
v6,v253,1
v6,v254,1
v6,v255,1
v6,v256,1
v6,v257,1
v6,v258,1
v6,v259,1
v6,v260,1
v6,v261,1
v6,v262,1
v6,v263,1
v6,v264,1
v6,v265,1
v6,v266,1
v6,v267,1
v6,v268,1
v6,v269,1
v6,v270,1
v6,v271,1
v6,v272,1
v6,v273,1
v6,v274,1
v6,v275,1
v6,v276,1
v6,v277,1
v6,v278,1
v6,v279,1
v6,v280,1
v6,v281,1
v6,v282,1
v6,v283,1
v6,v284,1
v6,v285,1
v6,v286,1
v6,v287,1
v6,v288,1
v6,v289,1
v6,v290,1
v6,v291,1
v6,v292,1
v6,v293,1
v6,v294,1
v6,v295,1
v6,v296,1
v6,v297,1
v6,v298,1
v6,v299,1
v6,v300,1
v6,v301,1
v6,v302,1
v6,v303,1
v6,v304,1
v6,v305,1
v6,v306,1
v6,v307,1
v6,v308,1
v6,v309,1
v6,v310,1
v6,v311,1
v6,v312,1
v6,v313,1
v6,v314,1
v6,v315,1
v6,v316,1
v6,v317,1
v6,v318,1
v6,v319,1
v6,v320,1
v6,v321,1
v6,v322,1
v6,v323,1
v6,v324,1
v6,v325,1
v6,v326,1
v6,v327,1
v6,v328,1
v6,v329,1
v6,v330,1
v6,v331,1
v6,v332,1
v6,v333,1
v6,v334,1
v6,v335,1
v6,v336,1
v6,v337,1
v6,v338,1
v6,v339,1
v6,v340,1
v6,v341,1
v6,v342,1
v6,v343,1
v6,v344,1
v6,v345,1
v7,v346,1
v8,v2,1
v8,v3,1
v8,v4,1
v8,v347,1
v8,v348,1
v8,v349,2
v8,v350,3
v8,v351,1
v8,v352,1
v8,v353,1
v8,v354,1
v8,v6,1
v8,v355,1
v8,v7,1
v8,v356,1
v8,v357,1
v8,v358,1
v8,v359,1
v8,v360,1
v8,v8,8
v8,v9,1
v8,v10,1
v8,v11,1
v8,v12,1
v8,v13,1
v8,v14,1
v8,v15,2
v8,v16,1
v8,v18,2
v8,v22,1
v8,v24,1
v8,v25,1
v8,v27,1
v8,v28,1
v8,v29,1
v8,v30,1
v8,v31,1
v8,v32,1
v8,v33,4
v8,v34,1
v8,v35,1
v8,v36,1
v8,v37,1
v8,v38,1
v8,v39,1
v8,v40,1
v8,v41,1
v8,v42,4
v8,v43,2
v8,v44,1
v8,v45,1
v8,v46,2
v8,v47,2
v8,v49,1
v8,v50,3
v8,v52,1
v8,v53,3
v8,v54,1
v8,v55,2
v8,v56,1
v8,v57,2
v8,v58,2
v8,v59,1
v8,v60,1
v8,v61,1
v8,v62,1
v8,v63,1
v8,v64,1
v8,v65,1
v8,v66,2
v8,v67,2
v8,v68,1
v8,v69,1
v8,v70,1
v8,v72,1
v8,v73,3
v8,v80,1
v8,v88,5
v8,v89,1
v8,v91,2
v8,v92,1
v8,v93,1
v8,v97,3
v8,v99,1
v8,v101,1
v8,v102,1
v8,v103,1
v8,v105,1
v8,v107,1
v8,v112,1
v8,v113,1
v8,v114,1
v8,v116,2
v8,v117,1
v8,v123,1
v8,v132,1
v8,v133,1
v8,v134,2
v8,v142,1
v8,v143,1
v8,v144,4
v8,v145,1
v8,v146,1
v8,v147,6
v8,v148,3
v8,v149,3
v8,v150,1
v8,v151,1
v8,v152,2
v8,v153,1
v8,v154,1
v8,v155,1
v8,v156,1
v8,v157,1
v8,v158,1
v8,v159,2
v8,v160,1
v8,v161,6
v8,v361,1
v8,v362,1
v8,v363,1
v8,v364,1
v8,v365,1
v8,v366,2
v8,v367,1
v8,v368,1
v8,v369,1
v8,v370,1
v8,v371,1
v8,v372,2
v8,v373,1
v8,v374,1
v8,v375,1
v8,v376,1
v8,v162,1
v8,v163,1
v8,v164,1
v8,v165,1
v8,v166,1
v8,v167,2
v8,v168,4
v8,v170,1
v8,v171,2
v8,v172,2
v8,v173,2
v8,v174,2
v8,v177,2
v8,v178,1
v8,v179,2
v8,v180,1
v8,v182,1
v8,v188,1
v8,v194,1
v8,v377,3
v8,v196,1
v8,v197,1
v8,v198,1
v8,v199,3
v8,v200,1
v8,v201,1
v8,v202,1
v8,v203,1
v8,v204,1
v8,v205,1
v8,v206,2
v8,v207,1
v8,v208,1
v8,v209,3
v8,v210,1
v8,v212,1
v8,v214,2
v8,v221,1
v8,v222,1
v8,v224,1
v8,v225,1
v8,v226,2
v8,v378,1
v8,v379,1
v8,v380,1
v8,v381,1
v8,v382,1
v8,v383,1
v8,v384,1
v9,v2,1
v9,v3,1
v9,v4,1
v9,v347,1
v9,v348,1
v9,v385,1
v9,v349,2
v9,v386,1
v9,v350,3
v9,v351,1
v9,v352,2
v9,v387,1
v9,v354,1
v9,v6,1
v9,v355,1
v9,v7,1
v9,v356,2
v9,v388,1
v9,v358,1
v9,v359,1
v9,v360,1
v9,v8,8
v9,v9,3
v9,v10,1
v9,v11,1
v9,v13,1
v9,v14,1
v9,v15,2
v9,v16,1
v9,v18,1
v9,v24,1
v9,v27,1
v9,v29,1
v9,v30,1
v9,v31,2
v9,v32,1
